Username,Password,First Name,Last Name,Age,Enrollment Number,Mobile Number,City,State,Country,Zip Code,School Name,10th Mark,12th Mark,College Name,CGPA
JohnDoe,secure456,John,Doe,21,3216432100,8546957411,Hong Kong,Manchuria,China,745228,Victoria School,65,87,Victoria University,8
AliceSmith,Alice123,Alice,Smith,20,1234567890,1234567890,Los Angeles,California,USA,90001,Lakeside School,79.5,82.3,California University,7.8
BobJohnson,Bob456,Bob,Johnson,19,2345678900,2345678901,New York,New York,USA,10001,Parkview School,56.2,59.7,NewYork University,7.4
IanDavis,Ian789,Ian,Davis,20,9012345678,9012345678,Dallas,Texas,USA,75201,Parkway School,78.3,80.4,Texas University,7.7
JessicaRodriguez,Jessica123,Jessica,Rodriguez,22,1234501234,0123456789,San Jose,California,USA,95101,Valley School,79.4,82.1,SanJose University,8.1
KevinMartinez,Kevin456,Kevin,Martinez,18,2345012345,1234506789,Austin,Texas,USA,73301,Sunset School,65.8,67.3,Texas University,7.4
LindaWilson,Linda789,Linda,Wilson,21,3450123450,2345017890,Jacksonville,Florida,USA,32099,Westside School,77.5,79.2,Florida University,7.8
MichaelAnderson,Michael123,Michael,Anderson,23,4501234501,3450128901,SanFrancisco,California,USA,94101,Lincoln School,80.2,82.6,California University,8.3
NancyTaylor,Nancy789,Nancy,Taylor,17,5012345012,4501239012,Indianapolis,Indiana,USA,46201,Riverside School,57.9,58.9,Indian University,7.7
OscarThomas,Oscar123,Oscar,Thomas,22,1234501234,5012340123,Columbus,Ohio,USA,43085,Springfield School,55.3,57.7,Ohio State University,7.5
PeterMoore,Peter456,Peter,Moore,19,1234501234,0123456789,Fort Worth,Texas,USA,76101,Brookside School,78.6,80.1,Texas University,7.6
RachelWhite,Rachel123,Rachel,White,18,3450123450,2345017890,Detroit,Michigan,USA,48201,Woodland School,79.8,82.7,Michigan University,8.0
StevenHarris,Steven456,Steven,Harris,23,4501234501,3450128901,El Paso,Texas,USA,79901,Valley School,78.4,82.5,,7.8
TinaClark,Tina789,Tina,Clark,21,5012345012,4501239012,Seattle,Washington,USA,98101,Pacific School,80.5,,Washington University,7.9
UlyssesLewis,Ulysses123,Ulysses,Lewis,17,1234501234,5012340123,Denver,Colorado,USA,80201,Mountain School,,61.0,Colorado University,7.7
VioletLee,Violet456,Violet,Lee,22,1234501234,0123456789,Washington,Columbia,USA,20001,Washington School,79.8,81.8,Georgetown University,8.2
WilliamAllen,Will123,William,Allen,19,1234501234,1234506789,Boston,Massachusetts,USA,02101,Bayview School,76.6,78.5,Harvard University,8.0
XenaScott,Xena789,Xena,Scott,20,2345012345,2345017890,Memphis,Tennessee,USA,38101,Magnolia School,49.2,51.0,Memphis University,3.8
DianaBrown,Diana123,Diana,Brown,22,4567890123,4567890123,Houston,Texas,USA,77001,Greenwood School,54.3,58.1,Houston University,7.6
CharlieWilliams,Pass789,Charlie,Williams,21,3456789012,3456789012,Chicago,Illinois,USA,60601,Jefferson School,81.8,80.6,Illinois University,8.2
QuinnJackson,Pass789,Quinn,Jackson,20,2345012345,,Charlotte,North Carolina,USA,28201,Lakeview School,57.1,58.3,NorthCarolina University,7.6
EricJones,Eric456,Eric,Jones,,5678901234,,Phoenix,Arizona,USA,85001,Roosevelt School,72.6,76.4,Arizona State University,7.3
FionaGarcia,Pass789,Fiona,Garcia,17,6789012345,6789012345,Philadelphia,Pennsylvania,USA,19019,,79.9,81.2,Pennsylvania University,7.9
GeorgeMartin,George123,George,Martin,23,7890123456,7890123456,San Antonio,Texas,USA,78201,Fairview School,80.1,83.8,Texas University
HannahMiller,Pass456,Hannah,Miller,19,8901234567,8901234567,San Diego,California,USA,92101,Meadowbrook School,76.7,78.5,California University
RachelWhite,Rachel123,Rachel,White,18,3450123450,2345017890,Detroit,Michigan,USA,48201,Woodland School,79.8,82.7,Michigan University,8.0
StevenHarris,Steven456,Steven,Harris,23,4501234501,3450128901,El Paso,Texas,USA,79901,Valley School,78.4,82.5,,7.8
TinaClark,Tina789,Tina,Clark,21,5012345012,4501239012,Seattle,Washington,USA,98101,Pacific School,80.5,,Washington University,7.9
UlyssesLewis,Ulysses123,Ulysses,Lewis,17,1234501234,5012340123,Denver,Colorado,USA,80201,Mountain School,,61.0,Colorado University,7.7
VioletLee,Violet456,Violet,Lee,22,1234501234,0123456789,Washington,Columbia,USA,20001,Washington School,79.8,81.8,Georgetown University,8.2
WilliamAllen,Will123,William,Allen,19,1234501234,1234506789,Boston,Massachusetts,USA,02101,Bayview School,76.6,78.5,Harvard University,8.0
XenaScott,Xena789,Xena,Scott,20,2345012345,2345017890,Memphis,Tennessee,USA,38101,Magnolia School,49.2,51.0,Memphis University,3.8
YuriGreen,Yuri123,Yuri,Green,18,3450123450,3450128901,Nashville,Tennessee,USA,00000,,,,Vanderbilt University,7.8
ZaraAdams,Zara456,Zara,Adams,23,4501234501,,Oregon,,USA,97201,Forest School,59.6,60.5,Oregon University,8.1
Dhyan,Dhyan327,Dhyan,Maniyar,17,2364903161,9426937893,Bhavnagar,Gujarat,India,364001,FCHS,77,77,Sir BPTI,8.8
jainil,jainil123,jk,kapadia,17,236490316094,7990078350,Bhavnagar,Gujarat,India,364001,FCHS,93,0,Sir BPTI,10
nilabh,nilabh123,zdjfsnfsgdf,grsfh,,f,,ds,,sdf,s,fd,,,a,
